label,foreground_area,aspect_ratio,density,rejected_stage
37,1292,0.956,0.163,survived
26,797,0.418,0.230,survived
1,519,0.096,0.220,aspect
2,477,0.086,0.241,aspect
46,452,2.000,0.512,survived
12,378,0.439,0.512,area
168,338,1.429,0.537,area
22,257,1.467,0.195,area
167,256,1.389,0.569,area
147,229,1.444,0.489,area
150,226,1.143,0.448,area
10,223,0.711,0.217,area
157,216,0.857,0.571,area
173,214,2.000,0.476,area
141,208,0.857,0.550,area
11,199,0.684,0.201,area
144,199,0.900,0.553,area
160,196,1.000,0.605,area
148,192,0.773,0.513,area
153,191,0.850,0.562,area
38,174,0.104,0.725,area
137,174,0.789,0.611,area
6,160,1.200,0.593,area
18,158,0.619,0.579,area
8,154,1.200,0.570,area
149,141,0.571,0.560,area
139,136,0.571,0.540,area
142,136,0.600,0.567,area
16,123,0.700,0.439,area
20,122,1.385,0.521,area
171,122,1.133,0.478,area
15,121,1.417,0.593,area
174,121,1.062,0.445,area
23,120,1.143,0.536,area
158,118,0.667,0.546,area
154,115,0.400,0.719,area
155,115,0.632,0.504,area
135,114,0.632,0.500,area
21,113,1.000,0.669,area
152,111,0.579,0.531,area
151,110,0.400,0.688,area
29,108,1.000,0.299,area
17,107,0.400,0.669,area
163,104,0.455,0.473,area
145,102,0.556,0.567,area
177,101,1.077,0.555,area
31,100,0.947,0.292,area
76,100,2.333,0.298,area
165,99,0.611,0.500,area
95,98,0.269,0.538,area
27,95,0.632,0.417,area
132,95,1.154,0.487,area
138,94,0.444,0.653,area
19,90,1.909,0.390,area
45,89,2.571,0.706,area
24,88,0.192,0.677,area
69,88,2.714,0.662,area
121,88,2.556,0.425,area
130,88,2.875,0.478,area
169,87,0.733,0.527,area
129,85,2.875,0.462,area
36,84,0.238,0.800,area
35,82,0.579,0.392,area
146,81,0.412,0.681,area
128,80,2.750,0.455,area
170,80,0.600,0.593,area
25,79,0.217,0.687,area
127,78,2.875,0.424,area
131,78,3.286,0.484,area
136,78,0.333,0.722,area
123,77,2.750,0.438,area
124,77,2.750,0.438,area
126,77,2.750,0.438,area
122,75,2.750,0.426,area
125,75,2.875,0.408,area
166,74,0.333,0.685,area
28,73,0.167,0.760,area
34,73,0.263,0.768,area
143,73,0.368,0.549,area
172,72,0.667,0.480,area
32,71,0.211,0.934,area
140,70,0.263,0.737,area
30,69,0.200,0.863,area
175,66,0.600,0.489,area
159,65,0.353,0.637,area
176,65,0.538,0.714,area
33,64,0.263,0.674,area
120,57,1.750,0.509,area
178,56,0.667,0.373,area
156,54,0.583,0.643,area
9,53,6.333,0.930,area
7,50,6.000,0.926,area
116,48,48.000,1.000,area
14,43,3.250,0.827,area
73,42,42.000,1.000,area
102,40,40.000,1.000,area
110,37,37.000,1.000,area
88,36,36.000,1.000,area
133,36,36.000,1.000,area
5,35,2.750,0.795,area
4,34,2.750,0.773,area
81,34,34.000,1.000,area
96,34,34.000,1.000,area
94,33,33.000,1.000,area
49,32,15.000,0.533,area
161,32,0.625,0.800,area
51,29,29.000,1.000,area
65,29,29.000,1.000,area
61,28,28.000,1.000,area
3,20,0.667,0.833,area
58,19,19.000,1.000,area
40,18,1.250,0.900,area
41,18,1.250,0.900,area
13,17,2.000,0.944,area
119,17,17.000,1.000,area
42,16,1.500,0.667,area
43,15,1.250,0.750,area
70,15,15.000,1.000,area
179,15,0.800,0.750,area
66,13,13.000,1.000,area
113,13,2.000,0.722,area
39,11,0.750,0.917,area
44,9,0.750,0.750,area
85,9,3.000,0.750,area
86,8,8.000,1.000,area
91,8,3.000,0.667,area
98,8,8.000,1.000,area
99,8,3.000,0.667,area
106,8,3.000,0.667,area
83,7,7.000,1.000,area
100,7,7.000,1.000,area
117,7,7.000,1.000,area
118,7,7.000,1.000,area
62,6,0.500,0.333,area
74,6,2.000,0.750,area
75,6,6.000,1.000,area
87,6,6.000,1.000,area
103,6,6.000,1.000,area
111,6,6.000,1.000,area
115,6,6.000,1.000,area
162,6,1.000,0.667,area
55,5,5.000,1.000,area
72,5,5.000,1.000,area
78,5,5.000,1.000,area
82,5,5.000,1.000,area
89,5,5.000,1.000,area
93,5,5.000,1.000,area
97,5,5.000,1.000,area
101,5,5.000,1.000,area
109,5,5.000,1.000,area
114,5,5.000,1.000,area
60,4,4.000,1.000,area
64,4,4.000,1.000,area
71,4,4.000,1.000,area
104,4,4.000,1.000,area
108,4,4.000,1.000,area
164,4,1.500,0.667,area
47,3,1.500,0.500,area
77,3,3.000,1.000,area
134,3,3.000,1.000,area
48,2,2.000,1.000,area
63,2,1.000,0.500,area
68,2,2.000,1.000,area
80,2,2.000,1.000,area
90,2,2.000,1.000,area
180,2,2.000,1.000,area
50,1,1.000,1.000,area
52,1,1.000,1.000,area
53,1,1.000,1.000,area
54,1,1.000,1.000,area
56,1,1.000,1.000,area
57,1,1.000,1.000,area
59,1,1.000,1.000,area
67,1,1.000,1.000,area
79,1,1.000,1.000,area
84,1,1.000,1.000,area
92,1,1.000,1.000,area
105,1,1.000,1.000,area
107,1,1.000,1.000,area
112,1,1.000,1.000,area
